retrieved_at_utc,path,sha256,source,url,status,detail
2026-09-07T10:18:03.919418+00:00,data/raw/universe/nifty_smallcap_250_2026-09-07.csv,94c317be611993fe19861795516d9784f4ccb44bdf7fd56d1382d7bc05d99d1c,Nifty Indices current constituent file,https://www.niftyindices.com/IndexConstituent/ind_niftysmallcap250list.csv,downloaded,
2026-09-07T10:20:16.812527+00:00,data/raw/news/gdelt/SAILIFE/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sai+Life+Sciences+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:20:48.621555+00:00,data/raw/news/gdelt/SAMMAANCAP/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sammaan+Capital+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:21:06.064772+00:00,data/raw/news/gdelt/SAPPHIRE/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sapphire+Foods+India+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:21:57.388256+00:00,data/raw/news/gdelt/SARDAEN/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sarda+Energy+and+Minerals+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:24:07.991218+00:00,data/raw/news/gdelt/SAREGAMA/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Saregama+India+Ltd%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:24:25.310451+00:00,data/raw/news/gdelt/SCHNEIDER/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Schneider+Electric+Infrastructure+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:25:49.508788+00:00,data/raw/news/gdelt/SCI/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Shipping+Corporation+of+India+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:27:11.075544+00:00,data/raw/news/gdelt/SHYAMMETL/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Shyam+Metalics+and+Energy+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:29:15.738491+00:00,data/raw/news/gdelt/SIGNATURE/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Signatureglobal+%28India%29+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,HTTP Error 429: Too Many Requests
2026-09-07T10:31:34.253698+00:00,data/raw/news/gdelt/SOBHA/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sobha+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,HTTP Error 429: Too Many Requests
2026-09-07T10:33:55.670137+00:00,data/raw/news/gdelt/SONACOMS/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sona+BLW+Precision+Forgings+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,HTTP Error 429: Too Many Requests
2026-09-07T10:34:28.715737+00:00,data/raw/news/gdelt/SONATSOFTW/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sonata+Software+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:34:45.452916+00:00,data/raw/news/gdelt/STARHEALTH/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Star+Health+and+Allied+Insurance+Company+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:36:10.972236+00:00,data/raw/news/gdelt/SUMICHEM/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sumitomo+Chemical+India+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:36:46.221914+00:00,data/raw/news/gdelt/SUNTV/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Sun+TV+Network+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:37:40.827170+00:00,data/raw/news/gdelt/SPLPETRO/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Supreme+Petrochem+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:38:13.301815+00:00,data/raw/news/gdelt/SWANCORP/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Swan+Corp+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T10:40:29.534472+00:00,data/raw/news/gdelt/SYNGENE/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Syngene+International+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,HTTP Error 429: Too Many Requests
2026-09-07T10:42:45.057587+00:00,data/raw/news/gdelt/SYRMA/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22Syrma+SGS+Technology+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,HTTP Error 429: Too Many Requests
2026-09-07T10:43:37.860022+00:00,data/raw/news/gdelt/TBOTEK/2026-09-06.json,,GDELT 2.1 DOC API,https://api.gdeltproject.org/api/v2/doc/doc?format=json&mode=artlist&maxrecords=250&query=%22TBO+Tek+Ltd.%22&startdatetime=20260906000000&enddatetime=20260907000000,failed,response is unexpectedly short
2026-09-07T17:45:00.899853+00:00,data/raw/universe/nifty_smallcap_250_2026-09-07.csv,76a2ea1942e23c6cf0bc7264c9a72fcc79fcadbd331397a3353c3d85c18143ce,Nifty Indices current constituent file,https://www.niftyindices.com/IndexConstituent/ind_niftysmallcap250list.csv,downloaded,
2026-09-07T17:45:01.269771+00:00,data/raw/nse_bhavcopy/PR07092026.zip,,NSE Bhavcopy PR archive,https://nsearchives.nseindia.com/content/cm/PR07092026.zip,failed,HTTP Error 404: Not Found
2026-09-07T17:45:01.614797+00:00,data/raw/nse_bhavcopy/PR070926.zip,,NSE Bhavcopy PR archive,https://nsearchives.nseindia.com/content/cm/PR070926.zip,failed,HTTP Error 404: Not Found
